Individual Establishment Salmonella Categories for Each Product,,,,,,
"for Sample Collection Period December 01, 2024 through November 29, 2025",,,,,,
,,,,,,
Establishment Number,Establishment Name,City,State,District Number,Product Class,Category
M1015+P1015+V1015,"Empire Kosher Poultry, Inc.",Mifflintown,PA,60,Young Chicken Carcasses,2
M112+P112,"Tyson Foods, Inc",Green Forest,AR,35,Young Chicken Carcasses,2
M1234+P1234,Mountaire Farms Inc.,Siler City,NC,80,Young Chicken Carcasses,1
M13456+P13456+V13456,"Tyson Foods, Inc.",Pine Bluff,AR,35,Young Chicken Carcasses,1
M13556+P13556,"Tyson Foods, Inc.",Sedalia,MO,35,Young Chicken Carcasses,1
M1655+P1655+V1655,"Rashbe Holdings, Inc.",Birdsboro,PA,60,Young Chicken Carcasses,1
M17250+P6+V6,"Tyson Foods, Inc.",Blountsville,AL,90,Young Chicken Carcasses,1
M17980+P17980,Pilgrim's Pride Corporation,Sumter,SC,85,Young Chicken Carcasses,1
M19636+P19636,Tyson Foods Inc,Union City,TN,90,Young Chicken Carcasses,1
M20322+P20322,"Keystone Foods, LLC.",Bakerhill,AL,90,Young Chicken Carcasses,1
M20446+P20446+V20446,Central Illinois Poultry Processing LLC,Arthur,IL,50,Young Chicken Carcasses,1
M20826+P20826+V20826,Griggstown Quail Farm,Princeton,NJ,80,Young Chicken Carcasses,1
M2161+P3,"Mountaire Farms, Inc.",Millsboro,DE,80,Young Chicken Carcasses,1
M21938+P21938,EcoFriendly Foods,Moneta,VA,80,Young Chicken Carcasses,NA
M27297+P27297,Campo Lindo Farms,Lathrop,MO,35,Young Chicken Carcasses,1
M27389+P27389+V27389,Pitman Farms,Sanger,CA,05,Young Chicken Carcasses,3
M31727+P31727+V31727A,Kiryas Joel Poultry Processing Plant,Monroe,NY,60,Young Chicken Carcasses,1
M322A+P322,Pilgrim's Pride Corporation,Cold Spring,MN,25,Young Chicken Carcasses,1
M34145+P34145,"Kadejan, Inc.",Glenwood,MN,25,Young Chicken Carcasses,1
M4005+P4005+V4005,Williamsburg Packing Company Inc.,Kingstree,SC,85,Young Chicken Carcasses,NA
M4181+P4181,"Mao Foods, Inc.",Los Angeles,CA,05,Young Chicken Carcasses,1
M44121+P44121,Pelleh Poultry Corp.,Swan Lake,NY,60,Young Chicken Carcasses,3
M44801+P44801,Halal Transaction of USA llc,Kinsman,IL,50,Young Chicken Carcasses,NA
M45479+P45479,"Rettland Farm, LLC",Gettysburg,PA,60,Young Chicken Carcasses,NA
M45525+P45525+V45525,Pine Creek Processing LLC,Ridgeland,WI,25,Young Chicken Carcasses,NA
M46324A+P46324A+V46324A,Morning Star Poultry,Fort Plain,NY,60,Young Chicken Carcasses,2
M46498+P46498,"Westminster Meat Packing, Inc.",Westminster,VT,60,Young Chicken Carcasses,3
M4653A+P4653A+V4653A,"Agri Star Meat and Poultry, LLC",Postville,IA,25,Young Chicken Carcasses,1
M46910+P46910+V46910,B & R Meat Processing,Winslow,AR,35,Young Chicken Carcasses,NA
M47579+P47579,Tyson Foods Inc.,Humboldt,TN,90,Young Chicken Carcasses,2
M48281+P48281+V48281,"White Lake Foods, LLC",Ferndale,NY,60,Young Chicken Carcasses,3
M51255+P51255,Natural State Processing,Clinton,AR,35,Young Chicken Carcasses,2
M51302+P51302,Belmont Meats LLC,Paradise,PA,60,Young Chicken Carcasses,2
M51351+P51351,Underground Slaughter LLC,Walling,TN,90,Young Chicken Carcasses,NA
M56+P56,Pilgrim's Pride Corporation,TIMBERVILLE,VA,80,Young Chicken Carcasses,1
M5842+P5842+V5842,"Tyson Foods, Inc.",Springdale,AR,35,Young Chicken Carcasses,2
M6137+P6137,"Foster Poultry Farms, LLC",Livingston,CA,05,Young Chicken Carcasses,2
M667+P667,Mountaire Farms Inc.,Selbyville,DE,80,Young Chicken Carcasses,1
M7100+P7100+V7100,"Tyson Foods, Inc.",Nashville,AR,35,Young Chicken Carcasses,1
M737+P737,House of Raeford - Wallace Div,Teachey,NC,80,Young Chicken Carcasses,2
M7428+P7428+V7428,"Joyce Foods, Inc.",Winston Salem,NC,80,Young Chicken Carcasses,1
M744+P744,Vineland Poultry LLC,Vineland,NJ,80,Young Chicken Carcasses,3
M7470+P7470,Mountaire Farms Inc. - NC Division,Lumber Bridge,NC,80,Young Chicken Carcasses,1
M7478+P1,"Tyson Foods, Inc.",Wilkesboro,NC,80,Young Chicken Carcasses,1
M7559+P134+V7559,David Elliot Poultry Farm Inc.,Scranton,PA,60,Young Chicken Carcasses,3
M810+P810,Pilgrim's Pride Corporation,Moorefield,WV,80,Young Chicken Carcasses,1
M9977+P1325,"Tyson Foods, Inc.",New Holland,PA,60,Young Chicken Carcasses,1
P1009,Wayne Farms LLC,Danville,AR,35,Young Chicken Carcasses,2
P1137,"Tyson Foods, Inc.",Seguin,TX,40,Young Chicken Carcasses,1
P1235,Wayne Farms LLC,Decatur,AL,90,Young Chicken Carcasses,1
P1243,"Perdue Foods, LLC.",Rockingham,NC,80,Young Chicken Carcasses,1
P1249,"George's Chicken, LLC",Edinburg,VA,80,Young Chicken Carcasses,1
P1250,Fieldale Farms Corporation,Cornelia,GA,85,Young Chicken Carcasses,1
P1254+V1254,"Koch Foods of Ashland, LLC",Ashland,AL,90,Young Chicken Carcasses,1
P1257,Fieldale Farms Corporation,Murrayville,GA,85,Young Chicken Carcasses,1
P1272,Pilgrim's Pride Corporation,Douglas,GA,85,Young Chicken Carcasses,1
P1284,Pilgrim's Pride Corporation,Canton,GA,85,Young Chicken Carcasses,1
P1294+V1294,Holmes Foods Inc.,Nixon,TX,40,Young Chicken Carcasses,1
P1307,Mar-Jac Poultry-AL,Jasper,AL,90,Young Chicken Carcasses,1
P1309,House of Raeford Farms Inc.,Greenville,SC,85,Young Chicken Carcasses,1
P1315,"Tyson Foods, Inc.",Monett,MO,35,Young Chicken Carcasses,1
P1317+V1317,Wayne Farms LLC,Albertville,AL,90,Young Chicken Carcasses,1
P1318,"Perdue Foods, LLC",Milford,DE,80,Young Chicken Carcasses,1
P13369+V13369,"George's Processing, Inc.",Cassville,MO,35,Young Chicken Carcasses,1
P1353,Pilgrim's Pride Corporation,Chattanooga,TN,90,Young Chicken Carcasses,1
P15724+V15724,Case Farms Processing,Winesburg,OH,50,Young Chicken Carcasses,2
P1605,"Tide Mill Organic Farm, LLC",Edmunds Twp,ME,60,Young Chicken Carcasses,1
P164,"Tyson Foods, Inc.",Forest,MS,90,Young Chicken Carcasses,1
P165H,Bachoco OK Foods,Heavener,OK,40,Young Chicken Carcasses,1
P165S+V165S,Bachoco OK Foods,Fort Smith,AR,35,Young Chicken Carcasses,2
P170,Wayne Farms LLC,Pendergrass,GA,85,Young Chicken Carcasses,2
P17340,Pilgrim's Pride Corporation,Hickory,KY,90,Young Chicken Carcasses,1
P17500,Pilgrim's Pride Corporation,Russellville,AL,90,Young Chicken Carcasses,1
P177,Pilgrim's Pride Corporation,Gainesville,GA,85,Young Chicken Carcasses,1
P18285,Perdue Foods LLC,Dillon,SC,85,Young Chicken Carcasses,1
P18414,MB Consultants LTD,South Fallsburg,NY,60,Young Chicken Carcasses,1
P18438B,"Dupont Market, Inc. dba Grimaud Farms",Stockton,CA,05,Young Chicken Carcasses,2
P18557,"Sanderson Farms, Inc.",Summit,MS,90,Young Chicken Carcasses,1
P18978,Misty Knoll Farms,New Haven,VT,60,Young Chicken Carcasses,2
P19112,Perdue Foods LLC,Cromwell,KY,90,Young Chicken Carcasses,1
P19128,Case Farms Processing,Dudley,NC,80,Young Chicken Carcasses,1
P19150+V19150,La Belle Farm Inc,Ferndale,NY,60,Young Chicken Carcasses,3
P192,Pilgrim's Pride Corporation,Guntersville,AL,90,Young Chicken Carcasses,1
P1938,Frango Mineiro Live Butcher Shop LLC,Warwick,MD,80,Young Chicken Carcasses,NA
P1949,"Simmons Prepared Foods, Inc.",Gentry,AR,35,Young Chicken Carcasses,1
P19514,"Tyson Foods, Inc.",Robards,KY,90,Young Chicken Carcasses,2
P19688+V19688,"Sanderson Farms, Inc.",Bryan,TX,40,Young Chicken Carcasses,1
