 ,,,,,"Current Period October 1, 2024 - September 30, 2025",,,,,,Historical Calculations,
Species/Category,Product,Project,Pathogen,Type of Calculation,Number of Establishments Sampled,Number of Samples Analyzed,Number Positive,Calculation,Lower Confidence Bound,Upper Confidence Bound,FY24,CY24
Raw Beef,RGB Components,MT64,STEC /6/,Percent Positive,165,1187,6,0.51%,0.23%,1.08%,0.57%,0.35%
,RGB Components,MT64,Salmonella spp.,Percent Positive,165,1187,44,3.71%,2.00%,6.75%,4.38%,4.46%
,Manufacturing Trim,MT60_C /5/,STEC /6/,Prevalence,757,3576,12,0.63%,0.14%,2.73%,0.56%,0.48%
,Manufacturing Trim,MT60_C /5/,Salmonella spp.,Prevalence,757,3576,53,1.74%,1.13%,2.69%,2.29%,2.22%
,Bench Trim,MT65_C /5/,STEC /6/,Percent Positive,668,1525,2,0.13%,0.03%,0.53%,0.14%,0.18%
,Bench Trim,MT65_C /5/,Salmonella spp.,Percent Positive,668,1525,10,0.66%,0.35%,1.22%,0.21%,0.42%
,Raw Ground,MT43,STEC /6/,Prevalence,1353,12106,35,0.17%,0.08%,0.34%,0.10%,0.15%
,Raw Ground,MT43,Salmonella spp.,Prevalence,1353,12105,151,2.02%,1.25%,3.25%,2.07%,2.28%
,Beef Trim Follow-up,MT53_C /5/,STEC /6/,Percent Positive /7/,35,406,6,1.48%,.,.,0.87%,1.28%
,Beef Trim Follow-up,MT53_C /5/,Salmonella spp.,Percent Positive /7/,35,406,15,3.69%,.,.,4.52%,5.12%
,Beef Trim/Components Follow-up,MT52_C /5/,STEC /6/,Percent Positive /7/,18,136,3,2.21%,.,.,5.26%,3.42%
,Beef Trim/Components Follow-up,MT52_C /5/,Salmonella spp.,Percent Positive /7/,18,136,13,9.56%,.,.,3.16%,2.05%
,Imported Raw Beef Products,MT51,STEC /6/,Percent Positive /7/,81,1752,5,0.29%,0.12%,0.68%,0.29%,0.27%
,Imported Raw Beef Products,MT51,Salmonella spp.,Percent Positive /7/,81,1752,9,0.51%,0.25%,1.06%,0.44%,0.53%
,Raw Ground Beef Follow-up,MT44T_C /5/,STEC /6/,Percent Positive /7/,5,20,0,<0.01%,.,.,0.00%,<0.01%
,Raw Ground Beef Follow-up,MT44T_C /5/,Salmonella spp.,Percent Positive /7/,5,20,0,<0.01%,.,.,2.38%,<0.01%
,Raw Ground Beef Follow-up,MT44,STEC /6/,Percent Positive /7/,12,133,0,<0.01%,.,.,1.18%,1.22%
,Raw Ground Beef Follow-up,MT44,Salmonella spp.,Percent Positive /7/,12,133,1,0.75%,.,.,1.18%,1.22%
,Imported Raw Beef Products,MT08,STEC /6/,Percent Positive /7/,6,32,1,3.12%,0.10%,50.16%,<0.01%,<0.01%
,Imported Raw Beef Products,MT08,Salmonella spp.,Percent Positive /7/,6,32,2,6.25%,0.19%,69.99%,<0.01%,3.70%
,Raw Ground Beef or Veal Sampling - Retail,MT05,STEC /6/,Percent Positive /7/,,373,2,0.54%,.,.,<0.01%,<0.01%
,Raw Ground Beef or Veal Sampling - Retail,MT05,Salmonella spp.,Percent Positive /7/,,373,4,1.07%,.,.,1.23%,1.26%
Raw Pork,Cuts,HC_PK_CUT01,Salmonella spp.,Prevalence,89,522,45,10.33%,4.12%,23.63%,7.81%,9.87%
