Category,Subcategory,Number of Recalls,Pounds Recalled
Recall Totals,Total,42,71420721
Recalls by Class,Class I,38, 71049346
Recalls by Class,Class II,2,15691
Recalls by Class,Class III,2,355684
Recalls by Reason,Extraneous Material,13,69619536
Recalls by Reason,Undeclared Allergen,9, 744489
Recalls by Reason,Produced without Inspection,7,187026
Recalls by Reason,Import Violation,5,32842
Recalls by Reason,Listeria monocytogenes,4,459497
Recalls by Reason,Unapproved Substance,2,231060
Recalls by Reason,Shiga Toxin-Producing E. coli,1,2855
Recalls by Reason,Misbranding,1,143416
Recalls by Species,Swine,11,3010483
Recalls by Species,Mixed*,10,62273005
Recalls by Species,Chicken,9,5313865
Recalls by Species,Beef,7,324025
Recalls by Species,Siluriformes,3,125561
Recalls by Species,Turkey,1,367812
Recalls by Species,Sheep/Lamb,1,5970
