EstablishmentNumber,EstablishmentName,EstablishmentID,GCP_TotalInspections,GCP_TotalNRs,GCP_TotalMOIs,Lab_TotalSamples,Lab_SalmonellaPositive,Lab_CampylobacterPositive,Lab_SalmonellaPositiveRate,Lab_CampylobacterPositiveRate,_merge
M10+P7212+V10,,,,,,48.0,12.0,0.0,25.0,0.0,right_only
M10017+P10017,,,,,,28.0,7.0,0.0,25.0,0.0,right_only
M10038+P10038+V10038,Scotts Hook & Cleaver Inc.                                                                          ,7125.0,33.0,0.0,0.0,3.0,1.0,0.0,33.33,0.0,both
M1015+P1015+V1015,"Empire Kosher Poultry, Inc.                                                                         ",6413.0,355.0,0.0,0.0,134.0,20.0,0.0,14.93,0.0,both
M10307+P10307,,,,,,2.0,0.0,0.0,0.0,0.0,right_only
M1046+P1046+V1046,,,,,,9.0,1.0,0.0,11.11,0.0,right_only
M10828+P10828,,,,,,3.0,1.0,0.0,33.33,0.0,right_only
M10835+P10835+V10835,,,,,,15.0,2.0,0.0,13.33,0.0,right_only
M1097+P8891,,,,,,20.0,5.0,0.0,25.0,0.0,right_only
M11+P11,,,,,,1.0,0.0,0.0,0.0,0.0,right_only
M11041+P11041,,,,,,2.0,0.0,0.0,0.0,0.0,right_only
M11078+P11078,,,,,,24.0,2.0,0.0,8.33,0.0,right_only
M112+P112,"Tyson Foods, Inc                                                                                    ",3847.0,420.0,0.0,0.0,108.0,4.0,0.0,3.7,0.0,both
M11507+P11507+V11507,,,,,,10.0,1.0,0.0,10.0,0.0,right_only
M11509+P11509,,,,,,23.0,3.0,0.0,13.04,0.0,right_only
M1160+P9207,,,,,,27.0,1.0,0.0,3.7,0.0,right_only
M1173+P1173,Big Valley Meats                                                                                    ,6166918.0,13.0,0.0,0.0,,,,,,left_only
M1234+P1234,Mountaire Farms Inc.                                                                                ,6163896.0,508.0,0.0,2.0,99.0,1.0,0.0,1.01,0.0,both
M12604+P12604,,,,,,23.0,9.0,0.0,39.13,0.0,right_only
M12610+P12610,,,,,,1.0,1.0,0.0,100.0,0.0,right_only
M12650+P12650,,,,,,24.0,4.0,0.0,16.67,0.0,right_only
M13016+P13016+V13016,,,,,,3.0,1.0,0.0,33.33,0.0,right_only
M1305+P1305+V1305,,,,,,40.0,16.0,0.0,40.0,0.0,right_only
M13081+P13081+V13081,Tri State Meats LLC DBA Special D Meats                                                             ,3736.0,2.0,0.0,0.0,,,,,,left_only
M13127+P13127,,,,,,28.0,5.0,0.0,17.86,0.0,right_only
M13149+P13149+V13149,Krehbiels Specialty Meats Inc                                                                       ,3743.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,both
M13170+P13170+V13170,,,,,,21.0,0.0,0.0,0.0,0.0,right_only
M13199+P13199,,,,,,3.0,0.0,0.0,0.0,0.0,right_only
M13289+P963,Cargill Meat Solutions                                                                              ,3842.0,346.0,0.0,0.0,53.0,8.0,0.0,15.09,0.0,both
M13409+P13409,,,,,,2.0,0.0,0.0,0.0,0.0,right_only
M13432A+P13432A,,,,,,25.0,6.0,0.0,24.0,0.0,right_only
M13456+P13456+V13456,"Tyson Foods, Inc.                                                                                   ",3901.0,539.0,0.0,0.0,80.0,7.0,0.0,8.75,0.0,both
M13484+P13484,,,,,,10.0,0.0,0.0,0.0,0.0,right_only
M13525+P13525,,,,,,1.0,1.0,0.0,100.0,0.0,right_only
M13530+P13530,,,,,,24.0,2.0,0.0,8.33,0.0,right_only
M13556+P13556,"Tyson Foods, Inc.                                                                                   ",3770.0,481.0,0.0,4.0,109.0,1.0,0.0,0.92,0.0,both
M13564+P13564,,,,,,24.0,2.0,0.0,8.33,0.0,right_only
M13590+P13590,,,,,,20.0,1.0,0.0,5.0,0.0,right_only
M1383+P677,,,,,,21.0,2.0,0.0,9.52,0.0,right_only
M1393+P836,,,,,,12.0,0.0,0.0,0.0,0.0,right_only
M1407+P1407+V1407,,,,,,1.0,0.0,0.0,0.0,0.0,right_only
M1542+P1542,,,,,,49.0,8.0,0.0,16.33,0.0,right_only
M15735+P15735+V15735,,,,,,24.0,3.0,0.0,12.5,0.0,right_only
M15805+P15805+V15805,,,,,,55.0,15.0,0.0,27.27,0.0,right_only
M15841+P15841,,,,,,13.0,2.0,0.0,15.38,0.0,right_only
M1638+P1638,,,,,,2.0,0.0,0.0,0.0,0.0,right_only
M1641+P1641,Briardale Ostrich Farms                                                                             ,6167073.0,109.0,0.0,0.0,,,,,,left_only
M1645+P1645,,,,,,23.0,1.0,0.0,4.35,0.0,right_only
M1655+P1655+V1655,"Rashbe Holdings, Inc.                                                                               ",6167084.0,238.0,0.0,0.0,67.0,5.0,0.0,7.46,0.0,both
M1698+P787+V1698,,,,,,24.0,2.0,0.0,8.33,0.0,right_only
M17074+P17074,,,,,,1.0,0.0,0.0,0.0,0.0,right_only
M17217A+P6403A+V17217A,,,,,,58.0,13.0,0.0,22.41,0.0,right_only
M17250+P6+V6,"Tyson Foods, Inc.                                                                                   ",4485.0,421.0,0.0,0.0,76.0,1.0,0.0,1.32,0.0,both
M17270+P17270,,,,,,1.0,0.0,0.0,0.0,0.0,right_only
M17335+P17335,,,,,,23.0,3.0,0.0,13.04,0.0,right_only
M17375+P17375,,,,,,1.0,0.0,0.0,0.0,0.0,right_only
M17395+P17395,,,,,,25.0,3.0,0.0,12.0,0.0,right_only
M17428+P17428,,,,,,1.0,0.0,0.0,0.0,0.0,right_only
M17454+P17454,,,,,,3.0,0.0,0.0,0.0,0.0,right_only
M17480+P17480,,,,,,2.0,0.0,0.0,0.0,0.0,right_only
M17554+P17554,,,,,,2.0,0.0,0.0,0.0,0.0,right_only
M17557+P17557,,,,,,17.0,3.0,0.0,17.65,0.0,right_only
M1759+P1759,,,,,,24.0,2.0,0.0,8.33,0.0,right_only
M17751+P17751,,,,,,5.0,0.0,0.0,0.0,0.0,right_only
M1776+P1776,,,,,,1.0,0.0,0.0,0.0,0.0,right_only
M17781+P17781,,,,,,1.0,0.0,0.0,0.0,0.0,right_only
M1790+P18123+V1790,,,,,,1.0,0.0,0.0,0.0,0.0,right_only
M1791+P27353,,,,,,53.0,18.0,0.0,33.96,0.0,right_only
M17967+P17967,,,,,,1.0,0.0,0.0,0.0,0.0,right_only
M17980+P17980,Pilgrim's Pride Corporation                                                                         ,727.0,516.0,0.0,1.0,107.0,3.0,0.0,2.8,0.0,both
M18022+P18022,,,,,,13.0,0.0,0.0,0.0,0.0,right_only
M18237+P18237,,,,,,52.0,38.0,0.0,73.08,0.0,right_only
M1832+P1832,Helena Farm                                                                                         ,6167231.0,93.0,0.0,0.0,,,,,,left_only
M18341+P18341,,,,,,2.0,0.0,0.0,0.0,0.0,right_only
M18370+P18370,,,,,,3.0,1.0,0.0,33.33,0.0,right_only
M18388+P18388,,,,,,3.0,0.0,0.0,0.0,0.0,right_only
M18416+P18416+V18416,,,,,,13.0,2.0,0.0,15.38,0.0,right_only
M1842+P17778,ENA Meat Packing Corp.                                                                              ,13271.0,50.0,0.0,0.0,,,,,,left_only
M18506+P18506,,,,,,25.0,21.0,0.0,84.0,0.0,right_only
M18527+P18527,,,,,,23.0,2.0,0.0,8.7,0.0,right_only
M18554+P18554,,,,,,55.0,8.0,0.0,14.55,0.0,right_only
M18554A+P18554A,,,,,,26.0,0.0,0.0,0.0,0.0,right_only
M18559+P18559+V18559,,,,,,2.0,0.0,0.0,0.0,0.0,right_only
M18578+P18578,,,,,,18.0,2.0,0.0,11.11,0.0,right_only
M18596+P18596,,,,,,24.0,0.0,0.0,0.0,0.0,right_only
M18600+P18600,,,,,,24.0,0.0,0.0,0.0,0.0,right_only
M18661+P18661,,,,,,2.0,0.0,0.0,0.0,0.0,right_only
M18667+P18667,,,,,,19.0,3.0,0.0,15.79,0.0,right_only
M18678+P18678+V18678,,,,,,25.0,1.0,0.0,4.0,0.0,right_only
M18726+P18726,,,,,,66.0,11.0,0.0,16.67,0.0,right_only
M18743+P18743,,,,,,19.0,0.0,0.0,0.0,0.0,right_only
M18746+P18746,,,,,,1.0,0.0,0.0,0.0,0.0,right_only
M18820+P18820,,,,,,2.0,0.0,0.0,0.0,0.0,right_only
M18835+P18835,,,,,,1.0,0.0,0.0,0.0,0.0,right_only
M18866+P551,"Jennie-O Turkey Store Sales, LLC                                                                    ",2967.0,488.0,0.0,1.0,70.0,12.0,0.0,17.14,0.0,both
M1887+P1887,,,,,,24.0,2.0,0.0,8.33,0.0,right_only
M18878+P18878,,,,,,2.0,1.0,0.0,50.0,0.0,right_only
M18888+P18888,,,,,,21.0,0.0,0.0,0.0,0.0,right_only
M18895+P18895,,,,,,29.0,1.0,0.0,3.45,0.0,right_only
M18909+P157,Diestel Turkey Ranch                                                                                ,5112.0,155.0,0.0,0.0,,,,,,left_only
M18909+P157,"Foster Poultry Farms, LLC                                                                           ",5112.0,,,,54.0,15.0,0.0,27.78,0.0,right_only
M18987+P18987,,,,,,22.0,0.0,0.0,0.0,0.0,right_only
M18994+P18994,,,,,,48.0,15.0,0.0,31.25,0.0,right_only
