Food group,Food source,Measurement,Food group:Food source,Survey years:Variable,Value,Table,Demographics,ozEquivalent,foodType
Energy ,Total,Calories,Energy:Total,2017-2018-Mean,2093.14,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Other
Energy ,FAH,Calories,Energy:FAH,2017-2018-Mean,1402.55,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Other
Energy ,FAFH,Calories,Energy:FAFH,2017-2018-Mean,690.6,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Other
Energy ,FAFH: Restaurant,Calories,Energy:FAFH: Restaurant,2017-2018-Mean,173.28,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Other
Energy ,FAFH: Fast food,Calories,Energy:FAFH: Fast food,2017-2018-Mean,360.9,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Other
Energy ,FAFH: School,Calories,Energy:FAFH: School,2017-2018-Mean,28.21,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Other
Energy ,FAFH: Others,Calories,Energy:FAFH: Others,2017-2018-Mean,128.2,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.0,Other
Added sugars ,Total,Teaspoons,Added sugars:Total,2017-2018-Mean,16.94,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,2.8233389800000004,Other
Added sugars ,FAH,Teaspoons,Added sugars:FAH,2017-2018-Mean,12.13,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,2.0216707100000004,Other
Added sugars ,FAFH,Teaspoons,Added sugars:FAFH,2017-2018-Mean,4.81,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.80166827,Other
Added sugars ,FAFH: Restaurant,Teaspoons,Added sugars:FAFH: Restaurant,2017-2018-Mean,0.85,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.14166695,Other
Added sugars ,FAFH: Fast food,Teaspoons,Added sugars:FAFH: Fast food,2017-2018-Mean,2.53,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.42166750999999997,Other
Added sugars ,FAFH: School,Teaspoons,Added sugars:FAFH: School,2017-2018-Mean,0.17,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.028333390000000003,Other
Added sugars ,FAFH: Others,Teaspoons,Added sugars:FAFH: Others,2017-2018-Mean,1.26,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.21000042000000002,Other
Discretionary fats and oils ,Total,Grams,Discretionary fats and oils:Total,2017-2018-Mean,65.36,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,2.305467372134039,Other
Discretionary fats and oils ,FAH,Grams,Discretionary fats and oils:FAH,2017-2018-Mean,41.49,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.4634920634920634,Other
Discretionary fats and oils ,FAFH,Grams,Discretionary fats and oils:FAFH,2017-2018-Mean,23.87,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.8419753086419753,Other
Discretionary fats and oils ,FAFH: Restaurant,Grams,Discretionary fats and oils:FAFH: Restaurant,2017-2018-Mean,6.14,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.2165784832451499,Other
Discretionary fats and oils ,FAFH: Fast food,Grams,Discretionary fats and oils:FAFH: Fast food,2017-2018-Mean,12.68,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.44726631393298055,Other
Discretionary fats and oils ,FAFH: School,Grams,Discretionary fats and oils:FAFH: School,2017-2018-Mean,0.74,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.026102292768959433,Other
Discretionary fats and oils ,FAFH: Others,Grams,Discretionary fats and oils:FAFH: Others,2017-2018-Mean,4.31,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.15202821869488534,Other
Discretionary fats ,Total,Grams,Discretionary fats:Total,2017-2018-Mean,36.24,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,1.2783068783068783,Other
Discretionary fats ,FAH,Grams,Discretionary fats:FAH,2017-2018-Mean,23.92,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.8437389770723104,Other
Discretionary fats ,FAFH,Grams,Discretionary fats:FAFH,2017-2018-Mean,12.32,"Table 5-Intakes of food group by food source, U.S. consumers aged 2 and above, 1977-2018",US consumers aged 2 and above,0.4345679012345679,Other
