EstablishmentNumber,EstablishmentName,EstablishmentID,GCP_TotalInspections,GCP_TotalNRs,GCP_TotalMOIs,Lab_TotalSamples,Lab_SalmonellaPositive,Lab_CampylobacterPositive,Lab_SalmonellaPositiveRate,Lab_CampylobacterPositiveRate,_merge
M10038+P10038+V10038,Scotts Hook & Cleaver Inc.                                                                          ,7125.0,33.0,0.0,0.0,3.0,1.0,0.0,33.33,0.0,both
M1015+P1015+V1015,"Empire Kosher Poultry, Inc.                                                                         ",6413.0,355.0,0.0,0.0,134.0,20.0,0.0,14.93,0.0,both
M112+P112,"Tyson Foods, Inc                                                                                    ",3847.0,420.0,0.0,0.0,108.0,4.0,0.0,3.7,0.0,both
M1234+P1234,Mountaire Farms Inc.                                                                                ,6163896.0,508.0,0.0,2.0,99.0,1.0,0.0,1.01,0.0,both
M13149+P13149+V13149,Krehbiels Specialty Meats Inc                                                                       ,3743.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,both
M13289+P963,Cargill Meat Solutions                                                                              ,3842.0,346.0,0.0,0.0,53.0,8.0,0.0,15.09,0.0,both
M13456+P13456+V13456,"Tyson Foods, Inc.                                                                                   ",3901.0,539.0,0.0,0.0,80.0,7.0,0.0,8.75,0.0,both
M13556+P13556,"Tyson Foods, Inc.                                                                                   ",3770.0,481.0,0.0,4.0,109.0,1.0,0.0,0.92,0.0,both
M1655+P1655+V1655,"Rashbe Holdings, Inc.                                                                               ",6167084.0,238.0,0.0,0.0,67.0,5.0,0.0,7.46,0.0,both
M17250+P6+V6,"Tyson Foods, Inc.                                                                                   ",4485.0,421.0,0.0,0.0,76.0,1.0,0.0,1.32,0.0,both
M17980+P17980,Pilgrim's Pride Corporation                                                                         ,727.0,516.0,0.0,1.0,107.0,3.0,0.0,2.8,0.0,both
M18866+P551,"Jennie-O Turkey Store Sales, LLC                                                                    ",2967.0,488.0,0.0,1.0,70.0,12.0,0.0,17.14,0.0,both
M1909+P1909,Legacy Agricultural Farms LLC                                                                       ,6167326.0,59.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,both
M19232+P19232+V19232,"Bowman & Landes Turkeys, Inc.                                                                       ",2166.0,19.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,both
M19636+P19636,Tyson Foods Inc                                                                                     ,4534.0,469.0,0.0,0.0,111.0,8.0,0.0,7.21,0.0,both
M20322+P20322,"Keystone Foods, LLC.                                                                                ",4783.0,449.0,0.0,2.0,109.0,6.0,0.0,5.5,0.0,both
M20446+P20446+V20446,Central Illinois Poultry Processing LLC                                                             ,8719.0,225.0,0.0,0.0,38.0,1.0,0.0,2.63,0.0,both
M20826+P20826+V20826,Griggstown Quail Farm                                                                               ,7606.0,236.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,both
M20935+P20935,"Michigan Turkey Producers Co-op, Inc.                                                               ",7591.0,207.0,0.0,5.0,54.0,8.0,0.0,14.81,0.0,both
M2130+P2130,Cooper Farms Processing                                                                             ,1943.0,469.0,0.0,1.0,79.0,1.0,0.0,1.27,0.0,both
